Dealer Card,Player Value,Ace,Action,Reward
5,5,False,hit,1
8,16,True,hit,-1
10,12,False,hit,-1
2,20,False,stay,-1
11,16,True,hit,-1
5,18,True,stay,1
10,12,False,hit,-1
10,20,False,stay,-1
10,11,False,hit,-1
11,19,False,stay,-1
7,8,False,hit,0
7,12,False,hit,-1
3,21,True,stay,1
11,15,False,hit,-1
9,12,True,hit,0
3,20,False,stay,1
5,6,False,hit,-1
6,14,False,stay,1
8,16,False,hit,-1
10,6,False,hit,1
10,9,True,hit,1
5,18,False,stay,1
2,9,False,hit,0
4,14,False,stay,-1
8,8,False,hit,1
7,14,False,hit,-1
4,14,False,stay,-1
5,18,True,stay,1
10,16,False,hit,-1
2,13,False,stay,-1
11,16,False,hit,-1
10,11,False,hit,1
7,13,True,hit,-1
8,19,True,stay,1
6,5,False,hit,1
7,15,False,hit,0
2,18,False,stay,-1
3,11,False,hit,1
10,17,False,stay,-1
10,19,False,stay,-1
8,20,False,stay,1
3,10,False,hit,1
11,11,False,hit,1
10,15,False,hit,-1
3,15,False,stay,1
11,18,False,stay,-1
10,19,True,stay,1
11,13,False,hit,-1
2,18,False,stay,1
3,16,False,stay,1
5,16,False,stay,-1
11,20,False,stay,1
2,15,False,stay,-1
10,14,False,hit,-1
5,17,False,stay,1
10,14,False,hit,-1
10,18,False,stay,0
3,16,False,stay,-1
5,15,True,hit,-1
10,9,False,hit,1
10,14,False,hit,-1
7,20,False,stay,1
9,17,False,stay,-1
10,15,False,hit,-1
10,13,False,hit,-1
5,11,False,hit,1
11,12,False,hit,-1
2,15,False,stay,-1
2,10,False,hit,1
10,11,False,hit,1
2,13,False,stay,1
2,16,False,stay,1
7,15,False,hit,-1
10,20,False,stay,1
2,11,False,hit,1
2,10,False,hit,1
6,13,False,stay,-1
8,19,False,stay,1
9,13,False,hit,-1
10,14,False,hit,-1
5,14,False,stay,-1
6,15,False,stay,1
2,12,False,hit,-1
5,17,False,stay,1
4,12,False,stay,-1
8,14,True,hit,1
11,18,True,hit,-1
5,10,False,hit,-1
8,20,False,stay,1
4,16,False,stay,-1
2,16,False,stay,-1
11,16,False,hit,-1
5,15,False,stay,-1
10,9,False,hit,1
5,20,False,stay,1
10,18,False,stay,1
10,14,False,hit,-1
5,12,False,stay,-1
9,16,False,hit,0
4,14,False,stay,1
11,13,True,hit,1
10,12,False,hit,1
8,17,False,stay,-1
6,17,True,hit,1
10,5,False,hit,1
7,10,False,hit,-1
6,20,False,stay,1
2,15,False,stay,-1
7,12,False,hit,1
10,11,True,hit,-1
9,13,False,hit,-1
5,14,True,hit,1
10,17,True,hit,-1
6,13,False,stay,-1
10,4,False,hit,-1
2,17,False,stay,-1
5,10,False,hit,-1
10,13,True,hit,-1
7,18,True,stay,1
10,16,False,hit,-1
3,20,False,stay,1
5,14,False,stay,1
3,12,True,hit,-1
4,13,False,stay,1
10,21,True,stay,1
4,12,False,stay,-1
8,13,False,hit,-1
4,19,False,stay,1
10,19,False,stay,1
10,18,False,stay,-1
10,10,False,hit,-1
6,20,False,stay,1
2,16,False,stay,-1
9,15,False,hit,-1
10,16,False,hit,-1
10,13,False,hit,-1
8,14,True,hit,-1
4,6,True,hit,-1
3,11,False,hit,1
2,12,False,hit,1
10,9,False,hit,-1
